lemma,examples
fancy,"['she FANCIES the arse off you', 'i FANCY a kind of judge', 'i FANCY a packet of them', 'i FANCY a bit of bingo', 'she FANCIES somebody at work', 'he FANCIED eva for himself', 'we FANCY what in souvenirs', 'we FANCIED a game of golf', 'i FANCY a cup of tea', 'you FANCY me like mad', 'you FANCY the pants off him', 'i FANCY an oporto from 1952', 'i FANCY a bit after a frustrating day']"
fasten,[]
fear,"['i FEAR for wongo', 'i FEAR to death', 'i FEAR for agamemnon', 'i FEAR for him', 'the fist FEARS the strength of youth', 'you FEAR for us', 'i FEAR the wrath of god', 'you FEAR nothing with me', 'those ghosts FEAR of tv', 'all FEAR departs from her', 'i FEAR the prolongment of it', 'people FEAR it for nothing', 'such stills FEAR in me', 'they FEAR charges of libel', 'you FEAR the lack of rules', 'i FEAR for cecile', 'i FEAR for you', 'i FEAR for them', 'i FEAR for you', 'i FEAR for you']"
fence,"['jasper FENCED the diamonds for cash', 'i FENCED at princeton', 'i FENCED at school', 'i FENCED for yip', 'you FENCE with them', 'i FENCED a little at school', 'i FENCED it through eddie', 'he FENCED things for favours', 'i FENCED in college']"
fetch,"['i FETCH water for coffee', 'you FETCH her to me', 'abigail FETCHES him for dinner', 'we FETCHED water at night', 'you FETCH for me', 'i FETCH a bucket of water', 'you FETCH it for me']"
file,"['i FILE them under x.', 'i FILED for divorce', 'i FILED a report with headquarters', 'she FILED for divorce', 'i FILED a request for dismissal', 'ali FILED for divorce', 'we FILED for divorce', 'judith FILED for divorce', 'we FILED a complaint against you', 'you FILED a claim against her', 'husband FILED a complaint with us', 'great benefit FILED for bankruptcy', 'you FILE for divorce', 'i FILED it under r.', 'i FILED for medical', 'you FILED an action for divorce', 'the guard FILED a complaint against you', 'i FILED a report with the regimental office', 'angie FILED the suit as retribution', 'he FILED charges against you']"
fill,"['the noise FILLED heizaburo with pity', 'you FILL the air with smiles', 'i FILL him with brandy', 'you FILL me with horror', 'we FILL you with disgust', 'all hearts FILL with happiness', 'it FILLS us with disgust', 'you FILL the lull between intermissions', 'you FILL the room with it', 'love FILLED him with remorse', 'death FILLS me with despair', 'what FILLS her with dismay', 'we FILL it with soil', 'you FILL this with water', 'she FILLS me with ennui', 'eyes FILLED with tears', 'it FILLED in salem', 'he FILLS me with', 'eyes FILLED with tears', 'they FILL hundreds of files']"
film,"['i FILMED with them', 'silly bitch FILMED reflection from window', 'i FILMED myself to myself', 'i FILMED that in quimper', 'we FILMED it by accident', 'they FILMED it in ireland', 'ray FILMED these images of war', 'méliès FILMED the ceremony in advance', 'you FILMED with him', 'bresson FILMS it in closeup']"
fire,"['i FIRED at you', 'you FIRE at it', 'he FIRED with this', 'they FIRED at him', 'hathaway FIRED at wire', 'you FIRED on us', 'they FIRE with caseshot', 'we FIRED upon him', 'shots FIRED on five', 'it FIRES a stick of rock', 'they FIRED three from assembly', 'the man FIRED on us', 'the other one FIRED at me', 'he FIRES the girl for nadine', 'they FIRED me for it', 'they FIRED at me', 'she FIRED at you', 'he FIRES a man like you', 'somebody FIRED a couple of shots', 'they FIRED a missile at us']"
fit,"['the gloves FIT one of them', 'words FIT for marble', 'it FITS like skin', 'he FITS in fine', 'it FITS like this', 'you FIT into me', 'you FIT with me', 'rooms FIT for toddlers', 'you FIT a lot of descriptions', 'it FITS the head of master', 'she FITS the description of the victims', 'she FITTED me with this', 'it FITS like bricabrac', 'it FITS like this', 'robin FITS into that', 'you FIT in fine', 'it FITS the lock of them', 'she FITS the role of assassin', 'it FITS the bill of', 'that FITS both of us']"
fix,"['he FIXED the cars of officials', 'i FIXED it for tonight', 'i FIXED cars in prison', 'plug FIXED in place', 'we FIXED on harrison', 'they FIXED everything for nothing', 'i FIXED the problem with it', 'roustam FIX something for majesty', 'they FIXED it with this', 'the old janitor FIXED it like that', 'i FIXED the loudspeaker in block', 'time FIXES a lot of things', 'the coroner FIXED the time around midnight', 'eyes FIXED on you', 'it FIXED on you', 'the coroner FIXED the time around midnight', 'you FIXED me for sleep', 'that FIXES it at 2:00', 'he FIXED boilers with love', 'i FIXED a lot inside these walls']"
flap,[]
flash,"['he FLASHED at me', 'andy FLASHED at me', 'life FLASHING before you', 'life FLASHED before me', 'eyes FLASHING like cameras', 'i FLASHED on him', 'i FLASHED on harry', 'they FLASH all sorts on screens', 'whole life FLASHED before me']"
float,"['i FLOAT on air', 'i FLOAT like oxygen', 'you FLOAT behind me', 'they FLOAT on air', 'he FLOATED it by himself', 'the heart FLOATS in abandon', 'the heart FLOATS in abandon', 'the heart FLOATS in abandon', 'the heart FLOATS in abandon', 'the bulky ice FLOATS of the water', 'light FLOATED around me', 'coffin FLOATED in midair', 'me FLOATING in it', 'beer FLOAT for you', 'morganstern FLOATED millions in counterfeit bills', 'ships FLOAT porpoises on it', 'the fish FLOATS between life', 'a ghostly bomber FLOATS towards battlefield', 'she FLOATED like a beautiful scarf']"
flood,"['we FLOODED the house with equipment', 'king FLOODS the palace with light', 'they FLOOD us with spies', 'the town FLOODED with journalists', 'those mercenaries FLOODING into town', 'rewards FLOOD the skies of today', 'they FLOOD the market with them']"
flow,"['the wine FLOWS all by itself', 'they FLOW towards me', 'everything FLOWS through me', 'it FLOWS from you', 'we FLOW in unison', 'it FLOWS from you', 'it FLOWS from you', 'everything FLOWS from that', 'the water FLOWED beneath us', 'the blood FLOWS like sand', 'the clouds FLOW in sadness', 'they FLOW into you', 'that african blood FLOWS through you', 'that african blood FLOWS through you', 'the moisture FLOWED into droplets', 'life FLOWS like honey', 'strength FLOWS through me', 'flows FLOWS through me', 'the thoughts FLOW to the other', 'sweet love FLOWING on us']"
flower,"['it FLOWERS in dungeons', 'he FLOWERED many goals under eddie']"
fold,"['i FOLDED under torture', 'she FOLDED the laundry by 10', 'they FOLDED at nighttime', 'she FOLDS under pressure', 'pissers FOLDED like girls', 'you FOLDED inside yourself', 'i FOLDED them by hand', 'these FOLD into seats', 'he FOLDED like that', 'that horse FOLDED with me', 'we FOLD jeans at structure', 'we FOLD ethanol into that', 'unscheduled space FOLD in progress', 'they FOLD them in half', 'we FOLD it like this', 'arms FOLDED in prayer', 'arms FOLD about you']"
follow,"['i FOLLOWED to you', 'i FOLLOWED him to london', 'i FOLLOWED you to london', 'the parasite FOLLOWS the opinions of others', 'i FOLLOWED you for miles', 'you FOLLOW by road', 'everybody FOLLOW me in prayers', 'he FOLLOWED us from lioka', 'he FOLLOWED me without hesitation', 'many victories FOLLOWED the battle of kayala', 'many victories FOLLOWED the battle of kayala', 'many peasants FOLLOWED the army with provisions', 'he FOLLOWED us from serebaya', 'it FOLLOWED us to camp', 'men FOLLOW without questions', 'amiche FOLLOWED in 1955', 'he FOLLOWED cook about', 'i FOLLOWED it by', 'i FOLLOWED you in the papers', 'a car FOLLOWS him to a florist']"
fool,"['you FOOLED that kid for years', 'he FOOLED every one of us', 'it FOOLED a lot of people', 'i FOOLED the customs with this', 'he FOOLED all of us', 'he FOOLED all of us', 'he FOOLED all of us', 'you FOOLED a lot of people', 'no one FOOLS with us', 'he FOOLED all of us', 'he FOOLED all of us', 'we FOOLED you with dust', 'you FOOLED all of us', 'clark FOOLED a lot of people', 'blackwell FOOLED all of us', 'he FOOLED all of us', 'you FOOLS on corregidor', 'you FOOL with me', 'williams FOOLED a lot of people', 'she FOOLED me of people']"
force,"['the devil FORCED us into it', 'that girl FORCED me into it', 'no one FORCED it on you', 'i FORCED you to it', 'i FORCED myself on you', 'you FORCED yourself on me', 'you FORCED a kiss on me', 'they FORCED you into retirement', 'she FORCED me to it', 'he FORCED himself upon her', 'you FORCE this on me', 'they FORCE him into gambling', 'he FORCED me into it', 'we FORCED the hand of evolution', 'you FORCED this on him', 'you FORCED a showdown with him', 'you FORCED yourself on us', 'wanna FORCE you into anything', 'wanna FORCE you into this', 'majesty FORCED me to divorce']"
form,"['they FORMED the pact of steel', 'the others FORM a circle around it', 'everybody FORMS couples in ostend', 'the planet FORMED around it', 'no alliances FORM against him', 'the wings FORM a v for visualize', 'the roads FORM an eye of horus', 'the roads FORM an eye of horus', 'you FORMED an image of her', 'you FORMED this consortium of scientists', 'you FORM an alliance with sayu', 'point FORMING at 6:00', 'mode FORMED in 1980', 'they FORM into doughnuts', 'this one FORMS a line like this', 'the trees FORMED a canopy like a church', 'they FORM this attachment to me', 'it FORMS a gulf between you', 'they FORMED a guard of honor', 'we FORM a medical defense of the medical area']"
found,"['i FOUNDED it in 1942', 'i FOUNDED 17 of them', 'he FOUNDED a lot of crap', 'the family FOUNDED zentropa in 1912', 'grandfather FOUNDED this company in 1937', 'they FOUNDED the tomb at', 'marxistleninist group FOUNDED in 1970', 'i FOUNDED springfield in 1796', 'richard FOUNDED the university of michigan']"
frame,"['it FRAMES the look for sophistication', 'you FRAMED a case against kinta', 'sung FRAMED others for it', 'he FRAMED quinn for murder', 'he FRAMED me for it', 'pelant FRAMED her for murder', 'you FRAMED me for murder', 'you FRAMED a guy for murder', 'you FRAMED me for murder', 'he FRAMED no charges against him', 'you FRAMED me for murder', 'she FRAMED beal for murder', 'you FRAMED him for it', 'you FRAMED him for it', 'i FRAMED a man for murder', 'you FRAMED me for murder', 'he FRAMED nilaa for it']"
frighten,"['i´m FRIGHTENED for her', 'i´m FRIGHTENED for gayle', 'they FRIGHTENED the life of me', 'i FRIGHTENED him to death', 'you FRIGHTENED her to death', 'something FRIGHTENED her to death', 'you FRIGHTENED me to death', 'you FRIGHTENED him to death', 'he FRIGHTENED me into silence', 'he FRIGHTENED me into silence', 'you FRIGHTEN me to death', 'it FRIGHTENS a lot of people', 'you FRIGHTEN me to death', 'you FRIGHTENED me to death', 'you FRIGHTENED me to death', 'you FRIGHTENED me to hell', 'you FRIGHTENED me to death', 'you FRIGHTENED me to death', 'these big businesswomen FRIGHTEN me to death', 'many things FRIGHTEN people in paris']"
fry,"['i FRIED it like straw', 'chilli FRIES on me', 'they FRIED him at levenworth', 'i FRY some mushrooms for lunch', 'you FRY sons of bitches', 'mung paste FRIED with sugar', 'he FRIES on sunday']"
gather,"['i GATHER by that', 'a milliondollar smile GATHERS a lot of interest', 'information GATHERED from hanu', 'we GATHER around fourforty', 'everyone GATHERED around us', 'we GATHER in 10', 'they GATHER at dusk', 'yellow sludge GATHERED beneath it', 'they GATHERED hundreds of people', 'we GATHER this presentation to you', 'these shima GATHERED them for me', 'the circle GATHERING for christmas', 'friends GATHERED around him', 'whales GATHER in families', ""i GATHER from whathe'ssaying"", 'the troops GATHERED support at barracks', 'the mother GATHERS the son to dinner', 'he GATHERS the nation around the mountain', 'these people GATHER like you', 'these souls GATHERED around you']"
gaze,"['you GAZE at me', 'every woman GAZES at you', 'the queen GAZES in it', 'all eyes GAZE on us', 'all eyes GAZE on us', 'they GAZED at me', 'odile GAZED at arthur', 'you GAZE in mine', 'you GAZE at me', 'i GAZED at it', 'i GAZED upon him', 'he GAZED for a long time']"
glow,"['# GLOWS with beauty', 'i GLOWED for weeks', 'they GLOW with fluorescence', 'it GLOWS at night', 'he GLOWS with greatness', 'heart GLOWED with joy', 'a face GLOWS with grace']"
glue,"['you GLUED to her', 'we GLUE macaroni to shoeboxes', 'us GLUED until dinner', 'you GLUE this like this']"
grab,"['i GRABBED for it', 'everybody GRAB secure hold of something', 'you GRABBED the book from me', ""i GRABBED hold of somethin'"", 'you GRAB on eat', 'i GRABBED you like this', 'i GRABBED a bottle of champagne', 'you GRAB a couple of torches', 'she GRABS a box of kleenex', 'υοu GRABBED me by accident', 'she GRABBED it from me', ""she GRABBED me for t'meat"", 'you GRAB hold of this', 'you GRABBED them by mistake', 'i GRABBED her like this', 'you GRABBED at it', 'the thief GRABBED the necklace from her', 'you GRAB it like that', 'we GRAB the monster as', 'somebody GRABBED a handful of mud']"
grate,"['he GRATES on me', 'she GRATES on me', 'it GRATED on them']"
grease,"['you GREASE the wheels of justice', 'i GREASED the guard at the border']"
greet,"['we GREET the day with yoga', 'i GREET you in jail', 'you GREET like women', 'news GREETED with joy', 'i GREET the princess of navarre', 'she GREETS him without surprise', 'children GREET her with flowers', 'he GREETS everyone as daddy', 'i GREET the king of navarre', 'he GREETED us at these', 'who GREETED me like family', 'i GREET like this', 'we GREET them as friends', 'we GREET her in morocco', 'success GREETS me in maturity', 'i GREET you of the provisional government', 'the puppy GREETS him with barks', 'i GREET you of new krypton', 'they GREETED us with food']"
grin,"['he GRINNED at me', 'he GRINS at death', 'he GRINNED at me', 'thou GRIN whale at thee', 'they GRIN at you']"
grip,['they GRIP the road like claws']
groan,['no woman GROANS like that']
guarantee,"['i GUARANTEE everything about her', 'we GUARANTEE life to everybody', 'we GUARANTEE life to everybody', 'we GUARANTEE immunity from prosecution', 'they GUARANTEE delivery by christmas', 'new album GUARANTEED to flop', 'another 30 GUARANTEED as bonus', 'amendment GUARANTEES the right to privacy', 'camillo GUARANTEES him against me', 'you GUARANTEE for him', 'i GUARANTEE the safety of', 'the treaty GUARANTEES white safety for mexicans', 'the first amendment GUARANTEES the right of speech', 'the constitution GUARANTEES the pursuit of happiness', 'the constitution GUARANTEES the separation of work', 'they GUARANTEE a tablespoon in every bite']"
guard,"['we GUARD the souls in heaven', 'she GUARDS the sea of monsters', 'it GUARDS you from evil', 'they GUARD it with spirits', 'they GUARDED me at night', 'that slab GUARDS the secrets of civilizations', 'they GUARD the family of', 'i GUARD the keeper of it', 'the supplies GUARD the river at quinsai']"
guess,"['i GUESS over that', 'i GUESS at it', 'i GUESS for men', 'i GUESS after dinners', 'i GUESS after george', 'i GUESS for me', 'she GUESSED about peter', 'i GUESS things about you', 'i GUESS things like that', 'i GUESS something with numbers', 'i GUESS a part of me', 'i GUESS the lawyer with aids', 'he GUESS himself in case', 'i GUESS a bit of opera', 'we GUESSED for psev', 'i GUESS before midnight', 'i GUESS underneath it', 'i GUESS for grandma', 'the indians GUESSED the number of troops', 'i GUESS some kind of glove']"
guide,"['i GUIDE you till death', 'i GUIDED him to this', 'i GUIDE him in this', 'i GUIDE assholes for money', 'sauces GUIDE taste towards exaggeration', 'it GUIDES you to something', 'ouyang GUIDED me to the', 'she GUIDED me through you', 'they GUIDE people at sea', 'this one GUIDED me to him', 'she GUIDED me to you', 'we GUIDE you to college', 'martel GUIDED this organization for centuries', 'martel GUIDED this organization for centuries']"
hammer,"['somebody HAMMERED the music into him', 'all HAMMERED into us', 'we HAMMERED it of the children', 'they HAMMER words at them']"
hand,"['you HANDED the guns to nikita', 'they HAND in hand', 'i HANDED them to her', 'treasure HANDED to government', 'i HANDED her to you', 'iii HAND it to you', 'i HANDED those codes to sd6', 'i HANDED those codes to sd6', 'crewe HANDS it to turley', 'the meaning chief HANDED us to you', 'scott HANDS the ball to nathan', 'he HANDED the election to wilson', 'saracen HANDS the ball to williams', 'you HAND it to me', 'someone HANDS glass of champagne', 'i HAND it to you', 'i HAND it to her', 'i HAND it to you', 'i HAND to you', 'i HANDED the cup to pharaoh']"
handle,"['audrey HANDLES this type of stuff', 'foreign affairs HANDLES foreigners in taiwan', 'i HANDLE rhapsody in white', 'i HANDLE it by myself', 'you HANDLED it with glory', 'you HANDLED some of them', 'you HANDLED it like shit', 'you HANDLED it like shit', 'she HANDLES me for dinner', 'you HANDLED yourself with aplomb', 'secretary HANDLES all requests for charity', 'firm HANDLES all lines of dyes', 'nobody HANDLES this besides you', 'you HANDLE one of these', 'they HANDLE like babies', 'i HANDLE people like you', 'husband HANDLES that sort of thing', 'you HANDLED the situation without prejudice', 'you HANDLE that with care', 'i HANDLED the situation with helen']"
hang,"['a terrible disaster HANGS what over us', 'the same cloud HANGS over us', 'everything HANGS on it', 'he HANGS at dawn', 'he HANGS around lizbeth', 'innocent man HANG for crime', 'they HANG people for details', 'they HANG you for that', 'evil HANGS what over us', 'those czechs HANGED in italy', 'you HANG one from him', 'the shimmering air HANGS over hardangerfjord', 'the crazies HANG around nursery', 'a reason HANGS on it', 'he HANGS around mother', 'he HANGS around kim', 'i HANG onto this', 'they HANG you for murder', 'it HANGS upon the vaults', 'a great issue HANGS on this']"
happen,"['it HAPPENS at times', 'something HAPPENED to her', 'it HAPPENED over yonder', 'something´s HAPPENED to me', 'what HAPPENED to you', 'everything HAPPENS to me', 'the same HAPPENED to me', 'this terrible thing HAPPENED to me', 'anything HAPPENED to you', 'this HAPPENING to me', 'it HAPPENED to me', 'anything HAPPENS to her', 'it HAPPENED to me', 'you HAPPENED on me', 'it HAPPENED to them', 'something HAPPENED to him', 'something HAPPENED to willie', 'it HAPPEN like i', 'what HAPPENED to', 'the same things HAPPEN of us']"
harass,"['female spies HARASSED me in scotland', 'they HARASSED jack at school']"
harm,['you HARMED that body of yours']
hate,"['you HATE the sound of it', 'he HATES the sight of you', 'i HATE christmas at home', 'i HATE all of you', 'i HATE girls with sisters', 'i HATE that kind of man', 'i HATE this family of yours', 'we HATE him for it', 'i HATE the sight of her', 'i HATE every one of them', 'i HATE the sight of him', 'you HATE everything about me', 'i HATE the sight of him', 'i HATE the sight of you', 'i HATE the sight of you', 'i HATE the sight of you', 'i HATED it to death', 'i HATE you to pieces', 'i HATE you for it', 'i HATE myself for']"
haunt,"['something HAUNTS the castle at night', 'they HAUNTED me for days', 'it HAUNTED me for years', 'they HAUNTED people without reason', 'he HAUNTS a barn off route', 'they HAUNT us like old friends']"
head,"['that knock HEADED hero of yours', 'concannon HEADED the board of inquiry', 'you HEAD for marshalltown', 'we HEADED for k3', 'you HEAD for destruction', 'speedboat HEADING for open', 'train HEADING for shaoshan', 'scout HEADING toward ami', 'we HEAD for switzerland', 'stolen car HEADED for marseilles', 'the gang HEADED for leyte', 'suspect HEADED west on 48', 'you HEAD nigger in charge', 'you HEAD for ein', 'we HEAD for trinidad', 'she HEAD toward town', 'you HEAD for passau', 'they HEADED towards vegas', 'me HEAD around it', 'i HEAD for home']"
heal,"['it HEALS the wounds of loneliness', 'i HEAL with prayer', 'we HEAL through prayer', ""l'll HEAL you in moscow"", 'it HEALED me of jihad', 'it HEALED me of jihad', 'you HEALED me with magic', 'all scars HEAL with time', 'wounds HEAL without pain', 'it HEALED a lot of pigs', 'some wounds HEAL with stitches']"
heap,"['you HEAPED guilt on me', 'you HEAP abuse on me', 'i HEAPED insult on that']"
heat,['i HEATED some water for tea']
help,"['god HELP the rest of us', 'god HELP the both of us', 'lou HELPS with food', 'i HELPED her in mathematics', 'that HELPS in life', 'thinking HELPS in everything', 'they HELP with maintenance', 'i´ll HELP you with them', 'they HELPING hunt for elk', 'she HELPS me on sabbathdays', 'you HELP yourself to coffee', 'you HELPED me in hungary', 'i HELP the people of japan', 'he HELPED me in town', 'nobody HELPS people like us', 'god HELP her in paradise', 'you HELP me in ponderosa', 'i HELPED wagner in bayreut', 'it HELPED a lot during the war', 'you HELP me like american']"
hook,"['you HOOKED me for yourself', 'robbie HOOKED her on drugs', 'john HOOKS it for coyopa', 'it HOOKED way off thataway', 'i HOOKED it to something']"
hop,"['you HOP over it', 'it HOPPED a flight to', 'it HOPS from bump', 'he HOPPED a train to california']"
hope,"['i HOPE for nothing', 'i HOPE to god', 'i HOPE to hell', 'i HOPE to god', 'i HOPE to heaven', 'homeland HOPES for us', 'america HOPES for peace', 'we HOPED for more', 'you HOPE in vain', 'we HOPE some of you', 'we HOPE the best for you', 'i HOPE the best for them', 'we HOPE to someday', 'he HOPE to god', 'it HOPE to god', 'we HOPED for more', 'he HOPE for him', 'i HOPE to heaven', 'i HOPE for you', 'you HOPE it to god']"
hover,"['i HOVER above you', 'i HOVER at work', 'they HOVERED over me', 'lovers HOVER around her', 'those girls HOVERING around him']"
hug,"['i HUGGED you in public', 'she HUGGED it to her', 'we HUGGED at', 'it HUGS them to death']"
hum,"['they HUM like angels', 'apparatus HUMS to life', 'it HUMS something like this', 'the engine HUMMED to life', 'it HUMMING by morning', 'i HUM to myself']"
hunt,"['we HUNT each other around campus', 'we HUNT the worst of humanity', 'he HUNTS this forest with me', 'they HUNT by night', 'they HUNT in packs', 'they HUNT in packs', 'they HUNT at night', 'others HUNT for food', 'they HUNT by sound', 'i HUNT anyone of value', 'they HUNT in pairs', 'they HUNT for sport', 'he HUNTS monkeys with it', 'i HUNTED every foot of it', 'some men HUNT for sport', 'all others HUNTED to extinction', 'you HUNT both of us', 'you HUNTED at night', 'you HUNT by morn', 'the men HUNTED a squire into the river']"
hurry,"['he HURRIES in vain', 'we HURRIED into this', 'they HURRIED to outwit iemitsu', 'he HURRIED crew to zushi']"
identify,"['the lab IDENTIFIED it as pine', 'the little people IDENTIFY with you', 'i IDENTIFIED with cats', 'i IDENTIFY with her', 'they IDENTIFY with you', 'we IDENTIFY with them', 'she IDENTIFIES with him', 'i IDENTIFY each by voice', 'you IDENTIFY with him', 'he IDENTIFIED it in court', 'the world IDENTIFIES with you', 'we IDENTIFIED four of them', 'empedocles IDENTIFIED it as air', 'he IDENTIFIED it in court', 'mandolin IDENTIFIES him as alanadale', 'you IDENTIFIED a photo of these men', 'you IDENTIFY yourself with a', 'he IDENTIFIES with them', 'they IDENTIFY with that', 'i IDENTIFY with you']"
ignore,"['you IGNORE the basis of dialectics', 'edward IGNORED the rules of war', 'you IGNORED the rules of engagement', 'most bitches IGNORE me after sex', 'you IGNORED the chain of command', 'minor facts IGNORED in history', 'i IGNORED the symptoms for weeks', 'he IGNORED a couple of warnings', 'you IGNORE requests for consults', 'they IGNORED me for years', 'you IGNORED gran in life', 'you IGNORED me for weeks', 'you IGNORE every star above you', 'the japanese department IGNORED guidelines from france', 'he IGNORES you like that', 'people IGNORE the existence of', 'that IGNORE plenty of stuff', 'you IGNORE the people of you', 'you IGNORED me for weeks', 'he IGNORED me on end']"
imagine,"['i IMAGINE with what', 'i IMAGINED you in paradise', 'i IMAGINED lots of children', 'i IMAGINED trouble like this', 'i IMAGINE her under water', 'i IMAGINE lots of corpses', 'nobody IMAGINES things like this', 'i IMAGINE all sorts of things', 'you IMAGINE yourself in tomorrow', 'he IMAGINED himself at 34', 'he IMAGINES things about people', 'i IMAGINED this meeting of ours', 'i IMAGINE all kinds of situations', 'i IMAGINED all kinds of things', 'i IMAGINE the two of you', 'i IMAGINE a colourful picture of you', 'he IMAGINED a cannon of a high mountain', 'they IMAGINED a monster like that', 'i IMAGINED all kinds of things', 'it IMAGINED that for security']"
impress,"['iwas IMPRESSED with quincas', 'you IMPRESSED me with this', 'you IMPRESS me with impeccable taste']"
improve,"['i IMPROVE with age', 'i IMPROVE on acquaintance', 'they IMPROVE with age', 'one IMPROVES with age', 'you IMPROVE with age', 'one IMPROVES with practice', 'it IMPROVES with age', 'some things IMPROVE with age', 'many waywards IMPROVE in prison', 'condition IMPROVES with her', 'you IMPROVE with age', 'voice IMPROVES with alcohol', 'i IMPROVE on acquaintance']"
include,"['that INCLUDES the three of us', 'i INCLUDE them in inventory', 'that INCLUDES by accident', 'programming INCLUDES protection against attack', 'symptoms INCLUDE absence of fever', 'that INCLUDES both of you', 'papers INCLUDE no copy of this', 'proposal INCLUDES some favors from me', 'that INCLUDES the life of women', 'that INCLUDES these clams about everything', 'bargains INCLUDED lots of things', 'offer INCLUDED more than that', 'she INCLUDED all of us', 'the stuff INCLUDES the top bones of some', 'i INCLUDE canada in that', 'i INCLUDE canada in that', 'this greek events INCLUDE the tug of war', 'fluids INCLUDE the birth of halfbreeds', 'this INCLUDES areas of claremore', 'that activity INCLUDES plenty of']"
increase,"['it INCREASES the chances of conception', 'that INCREASES the frequency of urination', 'it INCREASES the risk of anesthesia', 'it INCREASES the chance of success', 'it INCREASES the risk of asphyxiation', 'range INCREASED to 2,000', 'pace INCREASES with time', 'i INCREASED the number of people', 'every death INCREASES the danger of extinction', 'the whole system INCREASED in importance', 'that INCREASES the effect of alcohol', 'the first flowers INCREASED the prizes on offer', 'range INCREASED to 2,500', 'strength INCREASES with stress', 'strength INCREASED by 800%%', 'we INCREASE the quantity the the', 'he INCREASED the number to six', 'it INCREASES the flow of oxygen', 'every extra minute INCREASES the chance of someone', 'probability INCREASES to 48.35']"
influence,"['everyone INFLUENCES the people around them', 'they INFLUENCED a lot of people', 'we INFLUENCE many into chaos', 'consciousness INFLUENCES others around you', 'we INFLUENCE others through cooperation']"
inform,"['i INFORMED on frankie', 'the mayor INFORMED me by phone', 'the political officer INFORMED on me', 'friends INFORM on friends', ""you INFORMED on 'em"", 'you INFORMED on them', 'someone INFORMED on him', 'a servant INFORMED on him', 'we INFORM it about everything', 'nobody INFORMED me of that', 'noone INFORMED the measles of that', 'nobody INFORMED me about that', 'gold INFORMED me of this', 'someone INFORMED milan about it', 'officers INFORM on themselves', 'dogs INFORM on others', 'i INFORMED the guys from', 'they INFORMED on him', 'i INFORMED on someone']"
inject,"['that man INJECTED you with something', 'i INJECTED him with serum', 'they INJECTED me with drugs', 'they INJECTED me with something', 'they INJECTED me with something', 'you INJECT people with petrol', 'they INJECTED me with r6', 'they INJECTED you with r6', 'you INJECTED her with heroin', 'he INJECTED me with something', 'wes INJECTED you with vervain', 'someone INJECTED him with something', 'you INJECT her with that', 'fraiser INJECTED me with something', 'you INJECTED him with something', 'they INJECTED you with something', 'i INJECTED you with andromin', 'i INJECT you with this', 'the sunlight INJECTS the sodium into a solar flare', 'he INJECT me with virus']"
injure,"['a few people INJURED in rout', 'jamieson INJURED all of us']"
instruct,"['the judge INSTRUCTED them to disregard', 'slaves INSTRUCT him on religion', 'minister INSTRUCTED me to you']"
intend,"['quigley INTENDS some foulness against her', 'we INTEND to march', 'i INTEND riddance of them', 'i INTENDED none of that', 'he INTENDS it for david', 'they INTENDED evil against thee', 'rafiel INTENDED me tο the μanοr hοuse', 'they INTEND no breach of discipline']"
interest,"['i INTEREST myself in crimes', 'you INTERESTED in what', 'i INTEREST you can']"
interfere,"['i INTERFERE with pacemakers', 'nothing INTERFERES with me', 'they INTERFERE with events', 'someone INTERFERES with them', 'it INTERFERES with the', 'it INTERFERES with illumination', 'he INTERFERED with her', 'emotions INTERFERE with that', 'drinking INTERFERED with anything', 'you INTERFERED between us', 'we INTERFERE with history']"
interrupt,"['death INTERRUPTED the comfort of time', 'violence INTERRUPTED the line of iife', 'the paperboy INTERRUPTED a bande in progress', 'you INTERRUPT affairs of state', 'morbo INTERRUPTS bowling for quatloos', 'you INTERRUPT affairs of state', 'no one INTERRUPTS the queen of soul']"
introduce,"['i INTRODUCED her to him', 'i INTRODUCED you to her', 'i INTRODUCED her to men', 'i INTRODUCED him to you', 'you INTRODUCED jacqueline to us', 'she INTRODUCED him to me', 'she INTRODUCED him to henri', 'i INTRODUCE the oxford boys to you', 'lll INTRODUCE her to you', 'daughter INTRODUCED me to them', 'you INTRODUCED him to me', 'you INTRODUCED me to her', 'father INTRODUCED him to music', 'brother INTRODUCED me to him', 'father INTRODUCES you to it', 'i INTRODUCED you to her', 'he INTRODUCED me to honegger', 'you INTRODUCE me to him', 'he INTRODUCED her to me', 'keifitz INTRODUCED us in paris']"
invent,"['colin INVENTED the dick on rule', 'these guys INVENTED stuff like that', 'i INVENTED them for flip', 'i INVENT lots of things', 'i INVENTED most of it', 'foolishness INVENTED for fools', 'i INVENTED it in 1974', 'i INVENT lots of things', 'i INVENTED believing in yourself', 'you INVENT excuses for yourself', 'you INVENTED it with kanai', 'he INVENTED a cuckoo with laryngitis', 'tolstoy INVENTED premonition of death', 'we INVENTED it in brooklyn', 'i INVENTED some kind of stove', 'moreira INVENTED those stories of me', 'reyna INVENTED a cure for absolon', 'franklin INVENTED something like these', 'i INVENTED them from scratch', 'she INVENTS someone of emergency']"
